,url,title,description,cat1,cat2,cat3
0,https://www.tourisme-cambresis.fr/1-les-templiers-coffre.html,"Aventure-jeu : ""Les Templiers du coffre d'or""","Le jeu aventure « Les templiers du coffre d’or » créé par la ville de Caudry en partenariat avec l’association Caudry Ma Passion débarque !

Construit autour d’un scénario original et vous entraînant dans un jeu de piste en autonomie dans le centre-ville de Caudry, ce jeu aventure vous permettra de passer 2h de divertissement en famille.

Vous pourrez vous procurer le sac contenant tout le nécessaire pour vous lancer dans cette aventure pour la somme de 15€ (un sac permet à une famille entière de jouer) auprès du Bureau d'Information Touristique de Caudry.",Jeu,Famille,Détente
1,https://www.tourisme-cambresis.fr/exposition-tank-tous-ses-etats.html,"Exposition ""le tank dans tous ses états""","L'apparition des tanks, arme de guerre incarnant une nouvelle dimension de la guerre moderne, va donner lieu au développement d'un équipement spécifique et à la production de nombreux objets à son image (affiches, photos, cartes postales, objets de la vie quotidienne...)

Fruit d'un long travail de recherche et de collecte, cette exposition présente une série inédite d'objets ayant trait à l'usage et l'image du tank.

 

Le centre d'interprétation de la Bataille de Cambrai est ouvert durant toutes les vacances d'été de 14h à 17h30.",Exposition,Culture,
1,https://www.tourisme-cambresis.fr/femme-premier-millenaire.html,"Exposition ""La femme au premier millénaire""","L’exposition vous invite à une plongée au cœur de l’histoire des femmes de l’époque gallo-romaine  à l’époque carolingienne  dans des domaines aussi variés que la maternité, la gestion du foyer, l’éducation des enfants, le travail textile et agricole, mais également dans des domaines où l’on n’attend pas forcément la femme à cette époque telles que l’artisanat, le commerce, la médecine ou encore l’enseignement ou la littérature.

 

Tous ces aspects de la place des femmes dans la société se révéleront aussi à travers des objets archéologiques aimablement prêtés par des musées de la région (musée des Beaux-arts de Cambrai, forum antique de Bavay, Arkéos…), objets divers et variés mettant en scène la femme de sa naissance à sa mort au sein de son foyer ou à l’extérieur. Des accessoires liés au vêtements (fibules…), à la maternité (tire-lait), à l’hygiène, à la toilette, à la mise en beauté (maquillage, parures et bijoux), à l’évolution de la mode (représentation de coiffures), mais également des objets témoignant de l’implication de la femme dans la vie économique (outillage textile et agricole), ou dans la vie religieuse (instruments de musique pour les processions...)

Oubliez vos idées reçues et venez découvrir ces femmes aux multiples facettes",Exposition,Culture,
3,https://www.tourisme-cambresis.fr/exposition-archeologie-vaucelles-une-histoire-avenir.html,"Exposition ""L'archéologie à Vaucelles, une histoire d'avenir""","L’abbaye de Vaucelles, monument culturel du Département du Nord, organise une exposition temporaire autour de l’archéologie passée, actuelle et à venir du site classé au titre des Monuments Historiques depuis 1920.


L’histoire abbatiale couvre 900 ans au coeur de la vallée de l’Escaut. À l’heure des bilans et des synthèses scientifiques, un rapide constat apparait : il reste encore tant à découvrir à Vaucelles. Périodes de construction et de reconstructions, projets architecturaux non aboutis, fonctions et espaces occupés, les hypothèses ne demandent qu’à être vérifiées et argumentées.


Conçue comme une exposition de site, l’exposition temporaire couvrira les thèmes de la vie monacale connue, et méconnue, dans un parcours instructif et intuitif. Maquettes, plans, photographies d’archives in situ, reconstitutions, reproductions de chartes ou de manuscrits, entrevues inédites, méthodologies archéologiques ou présentations de pièces de la collection lapidaire tout récemment mises au jour, les découvertes du visiteur se feront aussi pas-à-pas.


Une campagne de collecte (pour référencer les photographies anciennes, les documents et les objets dispersés ou encore pour cartographier le réemploi des pierres de l’abbaye) est lancée à l’occasion de cette exposition et l’accompagnera tout au long de l’année 2023. Conférences, visites guidées thématiques, ateliers ou circuits permettront d’être au plus proche des problématiques du site historique en devenir.


L’exposition est une promenade archéologique organisée par l’Abbaye de Vaucelles et le Service Archéologie et Patrimoine du Département du Nord.",Exposition,Culture,Histoire
2,https://www.tourisme-cambresis.fr/exposition-espace-vie-historique.html,"Exposition ""Les chasseurs cyclistes au combat : Faits d'armes dans le Cambrésis en 1914""","Exposition ""Les chasseurs cyclistes au combat : Faits d'armes dans le Cambrésis en 1914"".
Collection privée de Bruno Barrier.

Du 1er juin au 30 septembre 2023.
Espace de vie Historique - Place des Mantilles - Caudry
Ouvert tous les jours 15h-18h sauf mardi et dimanche.

 

Vernissage de l'exposition le vendredi 2 juin à 18h.",Exposition,Histoire,Culture
5,https://www.tourisme-cambresis.fr/exposition-collective-art-actuel-transfo.html,"Exposition collective d'art actuel ""Transfo""","Avec «  Transfo  », Modulo présente sa première exposition d'art actuel dans l'ancienne fabrique de broderie mécanique à Béthencourt dans le Cambrésis. “ Transfo ” réunit les œuvres de 22 artistes dont celles prêtées par le Frac Grand Large — Hauts-de-France et le CRP.

Les œuvres présentées dans l'exposition “ Transfo ” sont le résultat d'un changement d'état en rapport avec l'énergie utilisée ou produite, pour ou par l'opération. La transformation des bâtiments industriels en espace d'Arts visuels est perceptible dans la scénographie.

Les artistes sont : Juliette Bughin, Emmanuelle Flandre, Valérie Vaubourg, Stéphane Cauchy, Donovan Le Coadou, Vincent Herlemont, François Lelong, Alexis Nivelle, Philémon Vanorlé + les prêts du Centre régional de la photographie : Jalaï Abbas, Claude Dityvon, Daniel Maigné, Hartley Jill, Jean-Pierre Evrard, Michel Kempf, Magdi Senadji et du Frac Grand Large — Hauts-de-France : Matali Crasset, Jakob + MacFarlane, Mathieu Mercier, Bruno Peinado, Société volatile, Vogt + Weizenegger.

 

Cette exposition est présentée en résonance avec la Triennale Art & Industrie 2023 – Dunkerque / Hauts-de-France. Entrée libre 

Évènement soutenu par la région Hauts de France, le département du Nord, la DRAC Nord/Pas de Calais, la Saïf, la Copie privée, l'ADAGP, le Frac Grand Large — Hauts-de-France, le CRP, l'agence du service civique.

Ouvert le dimanche de 14 à 18h et sur rendez-vous au 06.46.17.56.96 (fermée les 15 premier jour d'Août).

Entrée libre

 
www.moduloatelier.com


www.facebook.com/moduloatelier",Exposition,Art,Culture
3,https://www.tourisme-cambresis.fr/exposition-deja-brule.html,"Exposition ""S'est-on déjà brûlé ?""","L'exposition ""S'est-on déjà brûlé ?"" s'inscrit dans le cadre de la seconde édition de la Triennale Art & Industrie du Pôle Art Contemporain de Dunkerque  avec pour thématique Les Energies : la Chaleur Humaine

Elle est contruite autour du dialogue établi entre les oeuvres du F.R.A.C. Grand Large, la collection du Musée des Beaux-Arts de Cambrai et la création actuelle.

L'axe central choisi est celui de la question de la lumière comme progrès technique.

Observer directement le soleil c'est s'aveugler, se brûler la rétine, ne plus voir.

Cette exposition propose d'examiner comment le sartistes vont défier ce principe et tenter de rendre percevable l'irregardable.",Exposition,Art,Culture
7,https://www.tourisme-cambresis.fr/2-jardin-fete.html,Jardin en fête,"Jardin en fête

Parc de loisirs familial situé au coeur du jardin des Grottes

 

Animations : beach volley, parcours sensoriel, rosalies, kart à pédales, châteaux gonflables, trampo élastique, vélos rigolos, balade à poneys...

 

Bac à sable : accessible gratuitement dès 18 mois. Prévoir les jouets de sable (seaux, pelles, râteaux...)

Parcours sensoriel : accessible gratuitement, à pieds nus uniquement

Balade à poneys : accessible dès 2 ans, les mercredi, vendredi, samedi et dimanche de 15h à 19h. Tarif : 5€

Maquillage enfant : chaque mercredi après-midi de 14h à 19h. Tarif : 3€ par enfant

Châteaux gonflables : Accessible dès 2 ans. Tarifs : 1h - 3.5€ et 5€ l'après-midi

Vélos rigolos : Accessible dès 3 ans. Chaque après-midi de 14h à 19h - Tarif : 2€

Rosalies : accessible dès 2 ans. Durée : 30 minutes - Tarif : 5€ rosalie 4 places (caution 100e par rosalie - chèque ou espèces + carte d'identité)

Kart à pédales : accessible dès 3 ans. Kart 1 place - Durée : 30 minutes- Tarif : 3e (caution 25€ par kart - chèque ou espèces + carte d'identité)

Beach volley : accessible gratuitement. Prévoir ballon de volley-ball

Initiation yoga : envie de rayonner ! Venez découvrir le yoga. réservé aux adultes ou en duo mère/fille (à partir de 8 ans) Les mercredis 21, 28 juin les 5, 12, 19, 26 et 30 août de 15h30 à 16h30. Tarifs : 15€ la séance de 1h ou 33€ les 3 séances de 1h. Prévoir son tapis. Inscriptions : S. Animations 03 27 73 23 53 ou https://www.mamaisonyoga.com/yogaetcambrai

Initiation pilate : Envie de renforcement musculaire? Venez découvrir le pilate ! Réservé aux adultes ou en duo mère / fille (à partir de 8 ans) les 7 juillet, 11, 18, 25 août et 1er septembre de 15h30 à 16h30.  Tarif : 5€ la séance de 1h - Prévoir son tapis. Inscriptions S. Animations : 03 27 73 23 53

Ouverture du parc : mercredi 21 juin de14h à 19h. Maquillage offert pour tous els enfants déguisés et costumés !

Atelier bois : ""Bûches puzzle"" et ""Atelier Gazous"". Animation tactile et fabrication d'un instrument de musique. Accès libre dès 5 ans. Les samedis 24 juin et 29 juillet de 10h à 13h et de 14h30 à 18h.

Atelier poterie et céramique : Première découverte de la Terre. Réalisation d'un objet décoratif ! Dimanche 2 juillet et samedi 26 août. Durée 1h30 à partir de 8 ans. Inscription S. Animations : 03.27.73 23 53

Atelier bulles : Première découverte des sciences. Préparation de la potion et réalisation des bulles géantes ! Dimanche 9juillet et dimanche 6 aout. A partir de 5 ans. Inscription S. Animations : 03.27.73.23.53

La ferme éducative : Venez découvrir jusqu'à 30 animaux différentsle temps d'une journée. Dimanche 16 juillet - Accès libre.",Détente,Famille,Santé
4,https://www.tourisme-cambresis.fr/decryptex-machine-chapelle.html,DECRYPTEX - la machine de la chapelle,"""DECRYPTEX - La machine de la chapelle""

 

Chaque année, des scientifiques dressent un inventaire des chauve-souris qui hibernent dans certains monuments de Cambrai grâce à leur « batbox ». Cette année, ils ont entendu des ultrasons inconnus et incessants dans la chapelle des jésuites. L’université Loyola de Los Angeles, spécialisée en signaux sonores, nous a fait parvenir des « batbox » géantes appelées DÉCRYPTEX qui nous permettent de transcrire ces ondes. Qui émet ces sons ? Que signifient-ils ? Arriverez-vous à utiliser le DÉCRYPTEX ?

 

Jeu en famille type chasse au trésor, gratuit en autonomie. Livret du jeu disponible à l'accueil du Labo 

 Du mardi au dimanche de 14h à 18h (sauf jour férié)",Jeu,Famille,Environnement
9,https://www.tourisme-cambresis.fr/visite-libre-chapelle-jesuites,Visite libre de la Chapelle des Jésuites,"Visitez librement la chapelle librement ou avec un guide. Les mercredis de 14h à 18h du 12 juillet au 30 août visitez la crypte de la chapelle

Tous les samedis et dimanches à 15h du 8 juillet au 3 septembre visite guidée  gratuite d'1h30 ""Du CambraiScope à la chapelle des jésuites"". RDV à l""entrée de la chapelle.

 

Conditions d'ouvertures susceptibles d'être modifiées, renseignements auprès de l'Office de tourisme du Cambrésis 03.27.78.36.15",Visite,Culture,
