iter	MultiClass
0	2.87942608
1	2.800176591
2	2.70772143
3	2.588153699
4	2.498484192
5	2.439508985
6	2.363224491
7	2.264716655
8	2.189004304
9	2.139916219
10	2.074648298
11	2.019248099
12	1.966489624
13	1.926765739
14	1.884373909
15	1.834258879
16	1.796144831
17	1.74056894
18	1.710030258
19	1.681738537
20	1.656988686
21	1.613687649
22	1.567254479
23	1.55185726
24	1.529630631
25	1.506666407
26	1.466846852
27	1.445326275
28	1.412235163
29	1.388035346
30	1.350753014
31	1.322294042
32	1.303669993
33	1.283558702
34	1.263524196
35	1.24621587
36	1.233812786
37	1.217267426
38	1.2041358
39	1.191293242
40	1.176642762
41	1.157454222
42	1.143698894
43	1.129421917
44	1.107436964
45	1.090878302
46	1.07018556
47	1.056947474
48	1.044612979
49	1.029026449
50	1.016666669
51	1.007292081
52	0.9980803202
53	0.9820881894
54	0.968920679
55	0.9542936625
56	0.9449676538
57	0.9383553584
58	0.9294855036
59	0.9185335194
60	0.9108763112
61	0.900390461
62	0.8923632936
63	0.8830083467
64	0.8734846261
65	0.8660698779
66	0.854026413
67	0.846718769
68	0.8420915811
69	0.8358660675
70	0.8303675057
71	0.8207491688
72	0.8110235913
73	0.8043154406
74	0.7984009004
75	0.7881209898
76	0.782546401
77	0.7757875664
78	0.7691070224
79	0.7650762618
80	0.7584844787
81	0.7531354673
82	0.7463157483
83	0.737049615
84	0.7316595446
85	0.7259240172
86	0.7211238203
87	0.7165826959
88	0.7084128478
89	0.7014871452
90	0.693784141
91	0.6902458901
92	0.6846085364
93	0.6807038901
94	0.6763570998
95	0.6717892489
96	0.6641280089
97	0.6574240474
98	0.6535513911
99	0.646170091
100	0.6394356941
101	0.634690432
102	0.631033515
103	0.6233933441
104	0.6167543928
105	0.610175187
106	0.6038149739
107	0.597812697
108	0.5921162475
109	0.5882474329
110	0.5842464107
111	0.5803264915
112	0.5783366616
113	0.5746627068
114	0.5695355825
115	0.5662332993
116	0.5613983597
117	0.5572616518
118	0.5541016194
119	0.550112401
