iter	Passed	Remaining
0	2759	2756689
1	5670	2829703
2	8420	2798352
3	10878	2708692
4	13561	2698661
5	16058	2660434
6	18720	2655592
7	21381	2651263
8	24461	2693522
9	27115	2684416
10	29609	2662156
11	31940	2629753
12	34296	2603924
13	36722	2586320
14	39175	2572555
15	41502	2552397
16	43984	2543326
17	46445	2533877
18	48906	2525109
19	51442	2520676
20	54088	2521558
21	56677	2519555
22	59450	2525357
23	60576	2463428
24	62992	2456690
25	65430	2451126
26	67687	2439263
27	70107	2433724
28	72441	2425527
29	74759	2417227
30	77243	2414480
31	79735	2411990
32	82192	2408493
33	85515	2429646
34	89233	2460308
35	92376	2473626
36	95499	2485565
37	98579	2495609
38	101258	2495102
39	104091	2498191
40	106542	2492065
41	109214	2491121
42	111709	2486195
43	114893	2496314
44	117539	2494440
45	119745	2483424
46	122081	2475400
47	124411	2467497
48	126975	2464369
49	129916	2468412
50	132158	2459190
51	134579	2453495
52	136741	2443294
53	139318	2440653
54	142135	2442145
55	144631	2438072
56	147325	2437324
57	150173	2439016
58	152925	2439038
59	155616	2437995
60	157924	2430997
61	160373	2426297
62	162801	2421352
63	165205	2416123
64	167560	2410299
65	170516	2413060
66	173183	2411650
67	175610	2406902
68	178045	2402328
69	180491	2397962
70	182860	2392642
71	185088	2385582
72	187696	2383482
73	190060	2378318
74	192244	2371019
75	194776	2368070
76	197121	2362894
77	199454	2357657
78	201911	2353926
79	204393	2350529
80	207188	2350689
81	210000	2350977
82	212759	2350603
83	215193	2346635
84	217616	2342574
85	220172	2339975
86	222718	2337263
87	225237	2334280
88	227684	2330570
89	230000	2325565
90	232583	2323275
91	235353	2322836
92	238181	2322910
93	240927	2322135
94	243737	2321920
95	246219	2318571
96	248722	2315422
97	251084	2311004
98	253526	2307347
99	255989	2303904
100	258335	2299442
101	260989	2297732
102	263566	2295333
103	266121	2292738
104	268600	2289499
105	271239	2287623
106	274040	2287084
107	276493	2283630
108	278788	2278901
109	281237	2275469
110	283546	2270922
111	286087	2268262
112	288306	2263074
113	290302	2256213
114	292297	2249418
115	294313	2242875
116	297199	2242965
117	299364	2237625
118	301434	2231626
119	303666	2226887
120	305787	2221378
121	307831	2215373
122	310223	2211920
123	312466	2207426
124	314650	2202556
125	316770	2197282
126	318859	2191843
127	321147	2187819
128	323442	2183862
129	325888	2180945
130	328145	2176778
131	330680	2174473
132	333225	2172230
133	335385	2167493
134	337355	2161572
135	339414	2156280
136	341440	2150824
137	343471	2145455
138	345586	2140647
139	347575	2135106
140	349795	2131023
141	351841	2125913
142	353842	2120580
143	355881	2115516
144	357996	2110944
145	360040	2105989
146	362112	2101237
147	364380	2097650
148	366390	2092606
149	368342	2087274
150	370362	2082367
151	372478	2078037
152	374551	2073498
153	376668	2069230
154	378786	2064994
